ID Veículo,Placa,Marca,Modelo,Ano,Tipo Combustível,Número do Chassi,Proprietário,odometro,RENAVAM,Cor,Foto
534ea256,PPR6D97,SCANIA,SCANIA/G 440 B6X4,2023/24,Oleo Diesel S10,,8a340ced,0,,,
d25944ea,RBB4A26,,,2019,Oleo Diesel S10,,8aec72fc,,,,
47585874,RBE9I43,Chevrolet,,2022,Oleo Diesel S10,,775df6f3,123,,,
72362420,MSZ8F54,,,2020,Oleo Diesel S10,,bb001cc5,,,,
0488797c,MTS9B94,,,,Oleo Diesel S10,,544ea029,,,,
3eabd542,MRL5H31,,,,Oleo Diesel S10,,538c6e67,,,,
31910370,ODF3G98,,,,Oleo Diesel S10,,4768dfec,,,,
01c44831,SGE8A07,,,,Oleo Diesel S10,,98c56c5e,,,,
895b7a17,KZE2I38,SCANIA,,2019/19,Oleo Diesel S10,,aa4c46ce,,,,
7fd5dec6,PPL1H94,,,2020,Oleo Diesel S10,,97cd93e8,,,,
f494b597,FUP3B06,,,,Oleo Diesel S10,,e5ac0135,,,,
42318a39,IAA2D91,,,,Oleo Diesel S10,,f5c51595,,,,
512d68c9,RBC9C24,,,,Oleo Diesel S10,,6640d68e,,,,
49009ce8,HEH1E34,,,,Oleo Diesel S10,,f92957e0,,,,
75a93c8d,SFT5H86,,,,Oleo Diesel S10,,f92957e0,,,,
14df610a,NTE4C58,,,,Oleo Diesel S10,,f92957e0,,,,
48cf73dc,EPI3I71,,,,Oleo Diesel S10,,f92957e0,,,,
0db512ef,RQN4J57,,,,Oleo Diesel S10,,f92957e0,,,,
6d9897d1,SFP2J21,,,,Oleo Diesel S10,,b5418ba4,,,,
bc9c2e09,MTB3J30,,,,Oleo Diesel S10,,4768dfec,,,,
5fad8e75,PPB4E05,,,,Oleo Diesel S10,,b45f06a9,,,,
ea116c95,AYC8B30,,,,Oleo Diesel S10,,330fa677,,,,
560c4f07,MQX1887,,,,Oleo Diesel S10,,330fa677,,,,
bd87a79c,MSX7H56,,,,Oleo Diesel S10,,5ba3f6a9,,,,
c263bd93,FRS4D00,,,,Oleo Diesel S10,,e5ac0135,,,,
